ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31855,31855.TXT,0.55284,0.16728,0.25684,3

ROUGE-1+StopWordRemoval,FNS31855,31855.TXT,0.60194,0.11546,0.19376,3

ROUGE-2+StopWordRemoval,FNS31855,31855.TXT,0.21046,0.03902,0.06583,3

ROUGE-SU4+StopWordRemoval,FNS31855,31855.TXT,0.31237,0.05842,0.09842,3

ROUGE-L+StopWordRemoval,FNS30887,30887.TXT,0.45196,0.22314,0.29877,5

ROUGE-1+StopWordRemoval,FNS30887,30887.TXT,0.50861,0.18775,0.27426,5

ROUGE-2+StopWordRemoval,FNS30887,30887.TXT,0.16091,0.05723,0.08443,5

ROUGE-SU4+StopWordRemoval,FNS30887,30887.TXT,0.27388,0.09358,0.13950,5

ROUGE-L+StopWordRemoval,FNS31290,31290.TXT,0.45140,0.13472,0.20750,3

ROUGE-1+StopWordRemoval,FNS31290,31290.TXT,0.52796,0.07337,0.12884,3

ROUGE-2+StopWordRemoval,FNS31290,31290.TXT,0.20726,0.02644,0.04690,3

ROUGE-SU4+StopWordRemoval,FNS31290,31290.TXT,0.30315,0.03648,0.06512,3

ROUGE-L+StopWordRemoval,FNS32380,32380.TXT,0.49419,0.25825,0.33923,3

ROUGE-1+StopWordRemoval,FNS32380,32380.TXT,0.56121,0.20560,0.30095,3

ROUGE-2+StopWordRemoval,FNS32380,32380.TXT,0.26963,0.07873,0.12187,3

ROUGE-SU4+StopWordRemoval,FNS32380,32380.TXT,0.35819,0.11623,0.17551,3

ROUGE-L+StopWordRemoval,FNS30886,30886.TXT,0.51279,0.23552,0.32279,4

ROUGE-1+StopWordRemoval,FNS30886,30886.TXT,0.56647,0.12422,0.20376,4

ROUGE-2+StopWordRemoval,FNS30886,30886.TXT,0.21687,0.04213,0.07055,4

ROUGE-SU4+StopWordRemoval,FNS30886,30886.TXT,0.32647,0.06193,0.10411,4

ROUGE-L+StopWordRemoval,FNS31292,31292.TXT,0.50356,0.16997,0.25415,3

ROUGE-1+StopWordRemoval,FNS31292,31292.TXT,0.58292,0.13449,0.21855,3

ROUGE-2+StopWordRemoval,FNS31292,31292.TXT,0.20198,0.04550,0.07426,3

ROUGE-SU4+StopWordRemoval,FNS31292,31292.TXT,0.31125,0.06780,0.11135,3

ROUGE-L+StopWordRemoval,FNS31050,31050.TXT,0.43095,0.24180,0.30978,3

ROUGE-1+StopWordRemoval,FNS31050,31050.TXT,0.52566,0.16308,0.24894,3

ROUGE-2+StopWordRemoval,FNS31050,31050.TXT,0.16422,0.04869,0.07511,3

ROUGE-SU4+StopWordRemoval,FNS31050,31050.TXT,0.29267,0.08014,0.12583,3

ROUGE-L+StopWordRemoval,FNS32140,32140.TXT,0.54374,0.22543,0.31872,3

ROUGE-1+StopWordRemoval,FNS32140,32140.TXT,0.59610,0.14099,0.22804,3

ROUGE-2+StopWordRemoval,FNS32140,32140.TXT,0.24844,0.05027,0.08362,3

ROUGE-SU4+StopWordRemoval,FNS32140,32140.TXT,0.35365,0.07122,0.11856,3

ROUGE-L+StopWordRemoval,FNS32141,32141.TXT,0.55123,0.20227,0.29594,4

ROUGE-1+StopWordRemoval,FNS32141,32141.TXT,0.49457,0.12504,0.19961,4

ROUGE-2+StopWordRemoval,FNS32141,32141.TXT,0.16722,0.04010,0.06468,4

ROUGE-SU4+StopWordRemoval,FNS32141,32141.TXT,0.27308,0.06520,0.10527,4

ROUGE-L+StopWordRemoval,FNS32020,32020.TXT,0.48366,0.17045,0.25206,3

ROUGE-1+StopWordRemoval,FNS32020,32020.TXT,0.48430,0.15882,0.23920,3

ROUGE-2+StopWordRemoval,FNS32020,32020.TXT,0.17229,0.05566,0.08414,3

ROUGE-SU4+StopWordRemoval,FNS32020,32020.TXT,0.26695,0.08387,0.12764,3

ROUGE-L+StopWordRemoval,FNS32384,32384.TXT,0.48567,0.35461,0.40992,3

ROUGE-1+StopWordRemoval,FNS32384,32384.TXT,0.53883,0.25388,0.34514,3

ROUGE-2+StopWordRemoval,FNS32384,32384.TXT,0.18579,0.08453,0.11619,3

ROUGE-SU4+StopWordRemoval,FNS32384,32384.TXT,0.28660,0.13040,0.17924,3

ROUGE-L+StopWordRemoval,FNS31053,31053.TXT,0.48375,0.31210,0.37941,3

ROUGE-1+StopWordRemoval,FNS31053,31053.TXT,0.48245,0.27166,0.34760,3

ROUGE-2+StopWordRemoval,FNS31053,31053.TXT,0.16173,0.09817,0.12218,3

ROUGE-SU4+StopWordRemoval,FNS31053,31053.TXT,0.25534,0.14501,0.18497,3

ROUGE-L+StopWordRemoval,FNS32021,32021.TXT,0.56003,0.20855,0.30392,4

ROUGE-1+StopWordRemoval,FNS32021,32021.TXT,0.50699,0.20740,0.29438,4

ROUGE-2+StopWordRemoval,FNS32021,32021.TXT,0.21654,0.07440,0.11075,4

ROUGE-SU4+StopWordRemoval,FNS32021,32021.TXT,0.30502,0.11106,0.16283,4

ROUGE-L+StopWordRemoval,FNS32143,32143.TXT,0.43576,0.28252,0.34279,3

ROUGE-1+StopWordRemoval,FNS32143,32143.TXT,0.55016,0.16583,0.25485,3

ROUGE-2+StopWordRemoval,FNS32143,32143.TXT,0.17415,0.05044,0.07822,3

ROUGE-SU4+StopWordRemoval,FNS32143,32143.TXT,0.30606,0.08460,0.13256,3

ROUGE-L+StopWordRemoval,FNS32144,32144.TXT,0.44361,0.35372,0.39360,3

ROUGE-1+StopWordRemoval,FNS32144,32144.TXT,0.48865,0.26843,0.34651,3

ROUGE-2+StopWordRemoval,FNS32144,32144.TXT,0.17820,0.09762,0.12614,3

